Especie,Latitud,Longitud,Fecha,Tamaño,Peso,Profundidad,Temperatura del agua,Salinidad,Oxígeno disuelto,Clorofila,Tipo de fondo marino,Presencia de depredadores,Dieta principal,Tipo de hábitat,Migratorio,Velocidad de nado,Color predominante,Tipo de agua,Método de avistamiento,Sexo,Edad estimada,Estado de conservación,Número de aletas,Presencia de parásitos,Dieta reciente
Pez Payaso,22.866888176263032,-141.91479187504692,2023-07-21,165.12003415315658,26.26445028569503,207.4597053820495,22.400466102360014,37.9040414018276,8.305125011632454,0.8515335875846123,coral,no,plancton,pelágico,no,10.374877410145308,rojo,salada,red,femenino,19,vulnerable,3,no,plancton
Tiburón Blanco,-42.92263298596946,164.87849558024197,2023-07-11,131.02549422409726,36.40153707878238,233.1762622475832,10.363484576771876,30.948666115678513,5.340860532789966,0.2426479319807346,lodo,no,crustáceos,pelágico,sí,18.05788561991573,gris,dulce,sonar,indeterminado,2,en peligro,2,no,peces pequeños
Salmón,-47.73845418358137,147.28906336605394,2022-10-12,126.49756886000031,32.676543898938824,256.9086516138108,6.098199419144214,32.013616994198635,2.894883759883336,2.0758870554578213,lodo,no,peces pequeños,profundo,sí,4.34198453958996,azul,salobre,red,femenino,32,crítico,5,sí,algas
Salmón,-3.58041333550527,-94.9607543406764,2023-04-02,93.2799287849392,42.740468600651276,389.2306986129939,15.972230150414983,37.004204743375055,9.285067169085526,1.539537473842009,coral,sí,peces pequeños,arrecife,no,8.392403670831769,azul,dulce,sonar,femenino,19,vulnerable,3,sí,moluscos
Pez Espada,29.118668723436386,109.43790881178285,2023-06-05,134.5445660195963,9.622407861623552,109.63395181908417,27.368133637225853,30.05719971994782,7.4530740626722904,0.19067161614030648,arena,no,plancton,costero,no,8.547532576458261,azul,salada,sonar,femenino,36,vulnerable,6,no,crustáceos
Pez Payaso,-33.92805899006717,-32.6172846609648,2023-05-23,40.737005294015546,33.23170417260899,217.6081348761069,16.268446959103443,30.04679255640553,8.72806230254703,0.980579824516185,coral,no,moluscos,costero,sí,10.6919698408108,azul,salobre,visual,femenino,1,crítico,4,sí,moluscos
Bacalao,33.663727221492294,66.15610843121388,2023-02-09,143.21231285639323,6.823630064824412,253.05855607141115,19.299108509980535,33.80341436857854,7.2392593931575995,1.2835806936439067,arena,sí,plancton,pelágico,sí,0.5073935369215827,rojo,salobre,red,masculino,21,vulnerable,2,sí,peces pequeños
Tiburón Blanco,15.657725542359614,-120.38292006723576,2023-06-30,38.70159641535584,24.164956097317468,85.38971907575113,10.209202055226728,38.67076569219475,2.988275561199276,1.0934560017380703,lodo,no,plancton,profundo,sí,7.901479739646966,rojo,salobre,red,masculino,21,en peligro,5,sí,crustáceos
Salmón,-16.782671221151432,13.879530236311496,2022-09-26,175.11318245587992,26.46559775507504,351.26941792514634,16.601848431788255,39.80849880273782,6.332968581797621,0.1529477443228805,coral,no,crustáceos,costero,sí,5.6347404783777115,amarillo,salobre,visual,indeterminado,6,no amenazado,5,no,plancton
Salmón,1.5825798492449508,-134.41813215843382,2022-09-06,111.02290504886994,1.8495394576335968,29.07910001416926,17.016364068333132,36.49835327041609,7.069032992615886,0.9343776986655559,lodo,sí,plancton,arrecife,sí,23.518418564462152,amarillo,salobre,sonar,masculino,14,vulnerable,3,no,crustáceos
Pez Payaso,46.55749797267384,13.020179528921744,2023-05-28,115.4642428164153,3.982656452640466,293.37033669210956,10.87853054378001,39.502756234602586,4.089731586907693,0.3353368072766957,roca,sí,crustáceos,arrecife,sí,20.94681223834249,verde,salobre,red,masculino,6,no amenazado,4,sí,crustáceos
Salmón,-28.35630293676612,-92.30617581940339,2022-08-19,125.27436839694245,42.04395464297325,101.86893795170204,9.094916686356111,38.47673442753146,7.047198759662219,0.11679108788974972,lodo,sí,crustáceos,profundo,sí,13.395105231846799,rojo,salada,visual,masculino,10,no amenazado,3,sí,crustáceos
Pez Payaso,-0.046460225595978955,-17.112049643226726,2023-07-12,159.68944981619427,14.69602372529536,5.225662139650827,13.756444200361447,32.01482074587135,6.534317611413498,1.124350565819524,arena,sí,peces pequeños,arrecife,sí,2.725534266583801,azul,salobre,visual,indeterminado,16,vulnerable,7,sí,plancton
Tiburón Blanco,12.448655610762074,60.468972182795085,2022-10-11,106.12471175699014,17.6341849123148,158.57004442689455,5.971636248053728,34.03955852767507,2.1726940349237944,1.2207702953027795,arena,sí,moluscos,arrecife,no,23.692978863086648,rojo,salobre,red,indeterminado,48,en peligro,4,no,plancton
